ReservationID,UserID,FacilityID,StartTime,EndTime,Purpose,Status,LastModifiedBy,CancellationReason
R001,U001,F004,2/15/2024 8:30,2/15/2024 12:00,Basketball Practice,Confirmed,U001,
R002,U002,F006,2/16/2024 11:30,2/16/2024 16:45,Research Meeting,Confirmed,U010,
R003,U003,F003,3/4/2024 10:00,3/4/2024 12:00,Morning Swimming Training,Confirmed,U003,
R004,U004,F001,5/9/2024 8:00,5/9/2024 10:30,Facilities Safety Meeting,Cancelled,U006,Insufficient Attendance
R005,U005,F005,1/14/2024 12:00,1/14/2024 14:45,SGA Interview,Completed,U012,
R006,U006,F010,5/10/2024 8:30,5/10/2024 9:30,Yoga Session,Confirmed,U008,
R007,U007,F007,3/17/2024 10:30,3/17/2024 17:00,SGA Meeting,Confirmed,U011,
R008,U008,F015,6/12/2024 13:30,6/12/2024 19:00,Welcome Party,Confirmed,U013,
R009,U009,F009,7/13/2024 12:00,7/13/2024 22:45,Gorloks Aware Interviews,Confirmed,U009,
R010,U010,F010,5/14/2024 8:45,5/14/2024 13:15,Swimming Lesson,Confirmed,U015,
R011,U011,F014,5/29/2024 8:30,5/29/2024 16:30,Media Projector,Cancelled,U014,Equipment Unavailability
R012,U012,F012,8/16/2024 11:45,8/16/2024 13:45,Sports Department Meeting,Completed,U002,
R013,U013,F013,9/17/2024 22:00,9/18/2024 2:00,Women's Basketball Training,Confirmed,U005,
R014,U014,F011,11/18/2024 19:30,11/18/2024 23:30,Fitness Workout ,Confirmed,U007,
R015,U015,F009,10/19/2024 20:00,10/20/2024 0:30,Winter Holiday Party,Completed,U004,
R0016,U040,F022,03/14/2025 16:30,03/14/2025 19:30,Guest Lecture,Confirmed,U201,
R0017,U066,F009,07/24/2025 06:00,07/24/2025 07:00,Team Meeting,Confirmed,U188,
R0018,U168,F001,05/21/2025 06:30,05/21/2025 10:30,Career Fair,Completed,U156,
R0019,U135,F009,11/25/2025 07:00,11/25/2025 09:00,Tournament,Confirmed,U242,
R0020,U270,F003,01/23/2025 06:30,01/23/2025 09:30,Basketball Practice,Confirmed,U293,
R0021,U299,F030,10/20/2025 20:00,10/20/2025 23:00,Basketball Practice,Confirmed,U165,
R0022,U234,F018,12/07/2025 09:30,12/07/2025 12:30,Training Session,Confirmed,U219,
R0023,U224,F011,05/12/2025 11:00,05/12/2025 15:00,Basketball Practice,Confirmed,U182,
R0024,U054,F032,11/17/2025 11:30,11/17/2025 15:30,Basketball Practice,Completed,U176,
R0025,U228,F027,12/08/2025 19:00,12/08/2025 20:00,Volleyball Practice,Confirmed,U167,
R0026,U093,F021,11/18/2025 08:00,11/18/2025 10:00,Student Organization Meeting,Confirmed,U290,
